dataset,model_type,C,max_features,ngram_range,val_accuracy,val_macro_f1,train_time
ag_news,lr,1.0,50000,"(1, 2)",0.9248333333333333,0.9246288084366392,17.696125030517578
ag_news,lr,10.0,50000,"(1, 2)",0.9214166666666667,0.9212896425923323,23.493221759796143
ag_news,lr,1.0,50000,"(1, 1)",0.9205,0.9202820229171155,10.03066873550415
ag_news,lr,1.0,10000,"(1, 2)",0.9195833333333333,0.9193777032431002,14.417513847351074
ag_news,lr,1.0,10000,"(1, 1)",0.9185833333333333,0.9183931675830623,8.5542631149292
ag_news,lr,10.0,50000,"(1, 1)",0.9166666666666666,0.9165522797325096,12.787766933441162
ag_news,lr,10.0,10000,"(1, 2)",0.9108333333333334,0.9107041779393097,19.687504053115845
ag_news,lr,10.0,10000,"(1, 1)",0.9103333333333333,0.910240661805451,10.75760006904602
ag_news,lr,0.1,50000,"(1, 2)",0.90975,0.9094146824308633,13.544155836105347
ag_news,lr,0.1,10000,"(1, 1)",0.9085,0.9081682528591648,7.612834215164185
ag_news,lr,0.1,10000,"(1, 2)",0.9084166666666667,0.9081207906396728,14.785691976547241
ag_news,lr,0.1,50000,"(1, 1)",0.9083333333333333,0.9079645366728583,8.667325973510742
