dataset,model_type,C,max_features,ngram_range,val_accuracy,val_macro_f1,train_time
ag_news,svm,0.1,50000,"(1, 2)",0.9261666666666667,0.9259408032295955,17.105747938156128
ag_news,svm,1.0,50000,"(1, 2)",0.9256666666666666,0.9255292089755073,17.020416975021362
ag_news,svm,0.1,50000,"(1, 1)",0.924,0.9237758325701654,8.988923072814941
ag_news,svm,1.0,50000,"(1, 1)",0.92225,0.9221302282467971,9.822988033294678
ag_news,svm,0.1,10000,"(1, 1)",0.9211666666666667,0.9209279197548663,6.336606740951538
ag_news,svm,0.1,10000,"(1, 2)",0.9209166666666667,0.9206855605481983,16.3482449054718
ag_news,svm,1.0,10000,"(1, 2)",0.92,0.9198236511775117,15.841157913208008
ag_news,svm,1.0,10000,"(1, 1)",0.9190833333333334,0.9189238648679409,8.765525102615356
ag_news,svm,10.0,50000,"(1, 2)",0.90825,0.9081821162373073,20.94082283973694
ag_news,svm,10.0,10000,"(1, 2)",0.907,0.9069077671929473,15.214544773101807
ag_news,svm,10.0,10000,"(1, 1)",0.9041666666666667,0.9040152963023946,8.862283945083618
ag_news,svm,10.0,50000,"(1, 1)",0.89975,0.8997420558658975,10.54727292060852
