dataset,model,seed,data_ratio,train_size,hyperparams,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1,per_class_f1,train_time,inference_time,throughput,model_size_mb
ag_news,tfidf_lr,42,1.0,108000,"{""model_type"": ""lr"", ""C"": 1.0, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.9248333333333333,0.9246288084366392,0.9207894736842105,0.920602670741164,"[0.921031640521138, 0.9685795897169567, 0.8918275588468659, 0.9009718938796953]",23.817831993103027,0.4389770030975342,17312.97982894879,0.1
ag_news,tfidf_lr,123,1.0,108000,"{""model_type"": ""lr"", ""C"": 1.0, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.9248333333333333,0.9246288084366392,0.9207894736842105,0.920602670741164,"[0.921031640521138, 0.9685795897169567, 0.8918275588468659, 0.9009718938796953]",21.006972074508667,0.3982839584350586,19081.863175865776,0.1
ag_news,tfidf_lr,456,1.0,108000,"{""model_type"": ""lr"", ""C"": 1.0, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.9248333333333333,0.9246288084366392,0.9207894736842105,0.920602670741164,"[0.921031640521138, 0.9685795897169567, 0.8918275588468659, 0.9009718938796953]",18.97535729408264,0.3597550392150879,21125.48587667222,0.1
ag_news,tfidf_lr,42,0.5,54000,"{""model_type"": ""lr"", ""C"": 1.0, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.9185,0.9182910089800845,0.9138157894736842,0.9135780775973839,"[0.9159127195316658, 0.9652669777086573, 0.8798727128082736, 0.8932599003409389]",9.95215892791748,0.2960219383239746,25673.772839370944,0.1
ag_news,tfidf_lr,123,0.5,54000,"{""model_type"": ""lr"", ""C"": 1.0, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.9185833333333333,0.9183682072067941,0.9128947368421053,0.912676096850696,"[0.9173092262696092, 0.964998703655691, 0.8796833773087072, 0.8887130801687764]",9.133117914199829,0.2513160705566406,30240.803873650977,0.1
ag_news,tfidf_lr,456,0.5,54000,"{""model_type"": ""lr"", ""C"": 1.0, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.9171666666666667,0.9169483453580212,0.9123684210526316,0.9120983032228751,"[0.9155342392752465, 0.9666235446313066, 0.8768211920529801, 0.8894142369319674]",8.903713941574097,0.38361692428588867,19811.43041107367,0.1
ag_news,tfidf_lr,42,0.25,27000,"{""model_type"": ""lr"", ""C"": 1.0, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.9116666666666666,0.9114127865986275,0.9075,0.9071982174942957,"[0.9099601593625498, 0.9612002069322297, 0.8715498938428875, 0.8860826098395159]",5.415876865386963,0.2687232494354248,28281.884860975933,0.1
ag_news,tfidf_lr,123,0.25,27000,"{""model_type"": ""lr"", ""C"": 1.0, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.91125,0.910978248631409,0.9063157894736842,0.9060071061528154,"[0.910201912858661, 0.9637681159420289, 0.8692185007974481, 0.8808398950131233]",5.0105507373809814,0.2765820026397705,27478.288274231963,0.1
ag_news,tfidf_lr,456,0.25,27000,"{""model_type"": ""lr"", ""C"": 1.0, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.91075,0.9105103892971365,0.9078947368421053,0.9076496504564873,"[0.9098185699039488, 0.9606828763579928, 0.8751974723538705, 0.8848996832101372]",6.471449136734009,0.3043630123138428,24970.182619178733,0.1
ag_news,tfidf_lr,42,0.1,10800,"{""model_type"": ""lr"", ""C"": 1.0, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.90125,0.9009568214644013,0.8985526315789474,0.898204993967608,"[0.9038767923526287, 0.9555785123966942, 0.859946949602122, 0.8734177215189873]",2.6330480575561523,0.23070883750915527,32941.95437874549,0.1
